"Symbol";"Value";"Unit";
"att_f2d9452e7d8831356a336f317";"Side Entry";"";
"REFERENCE";"TBC05-03-1-G-G";"";
"TraceParts.PartVersion";"1.0.5";"";
"SUPPLIER";"GCT";"";
"att_278ad05384e7123875a067353";"8.5";"";
"att_f662cbd9c97f24c79c100599e";"2.54";"";
"att_e63b7be603dfe6fd476614840";"18 - 30";"";
"att_34b6909614b1feb5b1b3a4c10";"6";"";
"TraceParts.PartNumber";"90-17122024-063592";"";
"TraceParts.PartLanguage";"en";"";
"DESIGN";"3-way, 2.54mm Pitch Terminal Block, Single Row, Side Entry, Rising Clamp Type";"";
"att_d88589d0ee9dbca81eb1e3ce3";"Through Hole";"";
"att_0f64a50d859d212e009450636";"150";"";
"TraceParts.PartTitle";"TBC05 series";"";
"att_e0d3b4be8844e6d18cddfddc2";"E543462";"";
"TRACEPARTS";"TRACEPARTS";"";
"att_0de2d280267eaeba082375883";"'-/+' Combination Type";"";
"att_06f0a5d671712bde6230225fb";"Rising Clamp";"";
"att_ec9b2baf5443af3dad56f4fe8";"2 - 24";"";
"TraceParts.InstanceId";"90-17122024-06359216GL2CYGE13SH1MPVNK7O4R1S";"";
