Designator,Footprint,Quantity,Value,LCSC Part #,
"C1, C5",CP_EIA-3216-18_Kemet-A,2,10uF,C128254,10uF
"C10, C12",CP_EIA-3216-18_Kemet-A,2,4.7uF,C116616,4.7uF
"C11, C14, C16, C3, C6, C7, C8",0603,7,0.1uF,C14663,0.1uF
"C13, C18, C9",0603,3,1uF,C15849,1uF
"C15, C17",1206,2,47uF,C96123,47uF
"C2, C4",CP_EIA-3216-18_Kemet-A,2,22uF,C782264,22uF
D1,D_SMP_DO-220AA,1,D_Schottky,C2875475,D_Schottky
D10,0603,1,A6,C2288,A6
D11,0603,1,A7,C2288,A7
D12,0603,1,5v,C12624,5v
D13,0603,1,12v,C12624,12v
D14,0603,1,Button,C2288,Button
D2,0603,1,TX,C2287,TX
D3,0603,1,RX,C2287,RX
D4,0603,1,SCK,C2288,SCK
D5,0603,1,A0,C2288,A0
D6,0603,1,A1,C2288,A1
D7,0603,1,A2,C2288,A2
D8,0603,1,A3,C2288,A3
D9,0603,1,A4,C2288,A4
F1,0603,1,500mA,C210357,500mA
J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB-C Connector,C3020560,USB-C Connector
"R1, R2",0603,2,5.1k,C23186,5.1k
"R10, R9",0603,2,18k,C25810,18k
"R11, R12, R13, R14, R15, R16, R17, R18, R20, R3, R4, R5, R6, R7, R8",0603,15,1k,C21190,1k
R19,0603,1,2.4k,C22940,2.4k
SW1,SW_Push_SPST_NO_Alps_SKRK,1,Reset,C778164,Reset
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-A,C14877,ATmega328P-A
"U2, U6",SOT-223-3_TabPin2,2,AMS1117-5.0,C6187,AMS1117-5.0
U3,SOIC-16_3.9x9.9mm_P1.27mm,1,CH340C (USB to UART),C84681,CH340C (USB to UART)
"U4, U5",Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,2,DRV8871DDA,C1556867,DRV8871DDA
Y2,OSC_CSTNE16M0V530000R0,1,16MHz,C341521,16MHz
