Designator,Mid X,Mid Y,Rotation,Layer
C1,177.1,-101.2475,270.0,top
C10,138.85,-104.45,315.0,top
C11,123.6,-110.15,270.0,top
C12,126.9,-108.3,180.0,top
C13,140.75,-107.0,225.0,top
C14,128.95,-105.4,270.0,top
C15,129.05,-101.45,90.0,top
C16,150.3,-100.95,90.0,top
C17,149.3,-105.15,270.0,top
C18,149.498008,-96.651992,45.0,top
C2,170.9475,-104.8,0.0,top
C3,148.3,-95.45,45.0,top
C4,161.0975,-104.8,0.0,top
C5,167.3,-101.2475,270.0,top
C6,121.05,-103.7,90.0,top
C7,116.55,-96.599999,90.0,top
C8,139.001992,-96.248008,45.0,top
C9,138.101992,-106.401992,315.0,top
D1,126.85,-111.1,180.0,top
D10,184.112499,-93.15,180.0,top
D11,176.1,-88.35,270.0,top
D12,149.1,-110.75,90.0,top
D13,175.35,-106.95,0.0,top
D14,102.55,-89.0,270.0,top
D2,111.2,-96.6,90.0,top
D3,109.5,-96.6,90.0,top
D4,99.2,-107.65,45.0,top
D5,162.55,-88.362499,270.0,top
D6,149.2,-88.362499,270.0,top
D7,135.7,-88.4,270.0,top
D8,122.3,-88.35,270.0,top
D9,102.9,-93.2,0.0,top
F1,123.6,-107.012499,90.0,top
J1,117.05,-110.25,0.0,top
J10,116.66,-90.4,180.0,top
J11,156.9,-90.4,180.0,top
J12,123.65,-100.91,180.0,top
J13,180.85,-110.1,90.0,top
J2,106.07,-109.810001,0.0,top
J3,133.13,-107.5,0.0,top
J4,153.88,-107.5,0.0,top
J5,143.470882,-90.392454,180.0,top
J6,104.95,-98.949999,270.0,top
J7,170.35,-90.4,180.0,top
J8,182.05,-98.95,90.0,top
J9,130.020882,-90.442454,180.0,top
R1,112.05,-103.675,90.0,top
R10,157.95,-97.2,270.0,top
R11,162.55,-91.875,90.0,top
R12,149.2,-91.9,90.0,top
R13,135.7,-91.875,90.0,top
R14,122.3,-91.85,90.0,top
R15,106.475,-93.2,180.0,top
R16,180.55,-93.15,0.0,top
R17,176.1,-91.9,90.0,top
R18,148.35,-108.4,0.0,top
R19,175.35,-104.6,0.0,top
R2,126.05,-106.25,0.0,top
R20,101.7,-91.3,0.0,top
R21,114.05,-103.675,270.0,top
R3,119.75,-96.599999,270.0,top
R4,118.15,-96.6,270.0,top
R5,113.35,-96.6,270.0,top
R6,114.95,-96.6,270.0,top
R7,101.3,-105.15,180.0,top
R8,139.55,-111.35,270.0,top
R9,129.05,-96.7375,270.0,top
SW1,143.5,-111.4,180.0,top
SW2,107.05,-87.699999,90.0,top
SW3,166.9,-109.85,90.0,top
TP1,187.5,-107.270001,0.0,top
U1,143.5,-100.15,315.0,top
U2,162.45,-99.15,270.0,top
U3,116.55,-100.6,270.0,top
U4,133.135,-99.125,270.0,top
U5,153.885,-99.125,270.0,top
U6,172.25,-99.15,270.0,top
U7,116.5625,-103.9,90.0,top
Y2,143.35,-107.45,45.0,top
